"IATA","airportID","name","city","country","ICAO","latitude","longitude","altitude","timezone","DST","tzFormat","typeAirport","Source","totalFlights"
\N,1710,"Kütahya Airport","Kutahya","Turkey","LTBN",39.426700592041,30.0168991088867,3026,3,"E","Europe/Istanbul","airport","OurAirports",\N
\N,1712,"Yalova Airport","Yalova","Turkey","LTBP",40.684398651123,29.3756999969482,6,3,"E","Europe/Istanbul","airport","OurAirports",\N
\N,1713,"Cengiz Topel Airport","Topel","Turkey","LTBQ",40.7350006103516,30.0832996368408,182,3,"E","Europe/Istanbul","airport","OurAirports",\N
\N,8335,"Zagora Airport","Zagora","Morocco","GMAZ",30.3202991486,-5.86667013168,2631,0,"U","Africa/Casablanca","airport","OurAirports",\N
\N,8340,"Turukhansk Airport","Turukhansk","Russia","UOTT",65.797203064,87.9353027344,128,7,"N","Asia/Krasnoyarsk","airport","OurAirports",\N
\N,8344,"Kolpashevo Airport","Kolpashevo","Russia","UNLL",58.3252983093262,82.932502746582,243,7,"N","Asia/Krasnoyarsk","airport","OurAirports",\N
\N,1731,"Siirt Airport","Siirt","Turkey","LTCL",37.9789009094238,41.8404006958008,2001,3,"E","Europe/Istanbul","airport","OurAirports",\N
\N,1733,"Selçuk Efes Airport","Izmir","Turkey","LTFB",37.9506988525391,27.3290004730225,10,3,"E","Europe/Istanbul","airport","OurAirports",\N
\N,8351,"Cunderdin Airport","Cunderdin","Australia","YCUN",-31.622200012207,117.217002868652,705,8,"O","Australia/Perth","airport","OurAirports",\N
\N,8354,"Ballarat Airport","Ballarat","Australia","YBLT",-37.5116996765137,143.791000366211,1433,10,"O","Australia/Hobart","airport","OurAirports",\N
\N,1744,"Vršac International Airport","Vrsac","Serbia","LYVR",45.1469,21.3099,276,1,"E","Europe/Belgrade","airport","OurAirports",\N
\N,8363,"Slate Falls Airport","Slate Falls","Canada","CKD9",51.1300010681152,-91.6656036376953,1355,-6,"A","America/Winnipeg","airport","OurAirports",\N
\N,1750,"Trencín Airport","Trencin","Slovakia","LZTN",48.8650016785,17.9923000336,676,1,"E","Europe/Bratislava","airport","OurAirports",\N
\N,4138,"Al Taqaddum Air Base","Al Taqaddum","Iraq","ORAT",33.33810043335,43.597099304199,275,3,"U","Asia/Baghdad","airport","OurAirports",\N
\N,4139,"Joint Base Balad","Al Bakr","Iraq","ORBD",33.9402008057,44.3615989685,161,3,"U","Asia/Baghdad","airport","OurAirports",\N
\N,8405,"Glasgow City Heliport","Glasgow","United Kingdom","EGEG",55.8613891601562,-4.29694414138794,0,0,"E","Europe/London","airport","OurAirports",\N
\N,8406,"Yarram Airport","Yarram","Australia","YYRM",-38.5666999816895,146.755004882812,15,10,"O","Australia/Hobart","airport","OurAirports",\N
\N,1763,"San Isidro Air Base","San Isidoro","Dominican Republic","MDSI",18.5037002563477,-69.7617034912109,111,-4,"U","America/Santo_Domingo","airport","OurAirports",\N
\N,1765,"Bananera Airport","Bananera","Guatemala","MGBN",15.47350025177,-88.8371963500977,130,-6,"U","America/Guatemala","airport","OurAirports",\N
\N,2163,"Zanjan Airport","Zanjan","Iran","OITZ",36.7737007141,48.3594017029,5382,3.5,"E","Asia/Tehran","airport","OurAirports",\N
\N,8427,"Tura Mountain Airport","Tura","Russia","UNIT",64.333511352539,100.4328918457,2044,7,"N","Asia/Krasnoyarsk","airport","OurAirports",\N
\N,2169,"Saravan Airport","Saravan","Iran","OIZS",27.4193000793457,62.3157997131348,3930,3.5,"E","Asia/Tehran","airport","OurAirports",\N
\N,8432,"Gera-Leumnitz Airport","Gera","Germany","EDAJ",50.8816680908203,12.1358327865601,1014,1,"E","Europe/Berlin","airport","OurAirports",\N
\N,8435,"Kasimovo Airfield","Saint-Petersburg","Russia","XLLN",60.198299407959,30.3349990844727,230,3,"N","Europe/Moscow","airport","OurAirports",\N
\N,8438,"Terlet Glider Field","Arnhem","Netherlands","EHTL",52.057201,5.92444,276,1,"E","Europe/Amsterdam","airport","OurAirports",\N
\N,2178,"Rene Mouawad Air Base","Kleiat","Lebanon","OLKA",34.589298248291,36.0112991333008,75,2,"E","Asia/Beirut","airport","OurAirports",\N
\N,8461,"General Villamil Airport","Isabela","Ecuador","SEII",-0.942628026009,-90.9530029297,35,-6,"N","Pacific/Galapagos","airport","OurAirports",\N
\N,1788,"Ciudad Acuña New International Airport","Ciudad Acuna","Mexico","MMCC",29.3328990936279,-101.098999023438,1410,-6,"S","America/Mexico_City","airport","OurAirports",\N
\N,1790,"Nuevo Casas Grandes Airport","Nuevo Casas Grandes","Mexico","MMCG",30.3973999023438,-107.875,4850,-7,"S","America/Mazatlan","airport","OurAirports",\N
\N,8475,"Sugar Loaf Shores Airport","Key West","United States","7FA1",24.6487998962402,-81.5798034667969,4,-5,"A","America/New_York","airport","OurAirports",\N
\N,8500,"Fuerstenwalde Airport","Furstenwalde","Germany","EDAL",52.3905982971,14.0972003937,184,1,"E","Europe/Berlin","airport","OurAirports",\N
\N,8501,"Eberswalde-Finow Airport","Eberswalde","Germany","EDAV",52.827220916748,13.6936111450195,121,1,"E","Europe/Berlin","airport","OurAirports",\N
\N,8502,"Joseph A. Hardy Connellsville Airport","Connellsville","United States","KVVS",39.95920181,-79.65709686,1267,-5,"A","America/New_York","airport","OurAirports",\N
\N,8503,"Bedford County Airport","Bedford","United States","KHMZ",40.08530045,-78.5121994,1162,-5,"A","America/New_York","airport","OurAirports",\N
\N,3005,"Deesa Airport","Deesa","India","VADS",24.2679004669189,72.2043991088867,485,5.5,"N","Asia/Calcutta","airport","OurAirports",\N
\N,3006,"Guna Airport","Guna","India","VAGN",24.6546993255615,77.347297668457,1600,5.5,"N","Asia/Calcutta","airport","OurAirports",\N
\N,6450,"Tannheim Airport","Tannheim","Germany","EDMT",48.0099983215,10.098610878,1903,1,"E","Europe/Berlin","airport","OurAirports",\N
